date,half,ticker,direction,close,ema9,ema21
2025-03-24,AM,MSFT,UP,391.7000,385.8060,385.2239
2025-03-29,AM,MSFT,DOWN,377.7400,385.7706,386.4621
2025-04-11,PM,MSFT,UP,380.1200,371.3926,370.2631
2025-04-21,AM,MSFT,DOWN,361.6700,372.6779,374.1062
2025-04-25,AM,MSFT,UP,384.2600,372.9379,372.4524
2025-08-12,AM,MSFT,DOWN,519.5600,522.1120,522.1799
2025-08-13,AM,MSFT,UP,527.2100,522.9473,522.5364
2025-08-14,PM,MSFT,DOWN,518.4900,522.0902,522.2926
2025-09-13,AM,MSFT,UP,509.9300,503.7597,503.1895
2025-10-14,AM,MSFT,DOWN,507.6800,515.6182,516.0902
2025-10-22,AM,MSFT,UP,517.1900,513.9447,513.8912
2025-11-03,PM,MSFT,DOWN,518.7100,523.3232,523.3468
2025-12-09,PM,MSFT,UP,489.1600,485.1112,485.0545
2025-12-11,AM,MSFT,DOWN,473.8000,483.2067,484.2707
2025-12-20,AM,MSFT,UP,485.6300,480.8795,480.5492
2026-01-03,AM,MSFT,DOWN,473.3000,482.6411,483.3945
